대여번호,회원번호,도서번호,대여일,반납기한,반납일,반납상태,연체일수,연장횟수,별점
RENT0000000052,IDS00006,S000138,2025-04-21,2025-05-05,2025-05-01,정상,0,0,4
RENT0000000053,IDS00026,S000051,2024-09-20,2024-10-18,2024-09-25,정상,0,2,10
RENT0000000054,IDS00035,S000104,2025-05-17,2025-05-31,2025-05-27,정상,0,0,6
RENT0000000055,IDS00003,S000369,2024-07-22,2024-08-19,2024-08-14,정상,0,2,7
RENT0000000056,IDS00028,S000208,2024-11-26,2024-12-10,2024-12-01,정상,0,0,6
RENT0000000057,IDS00030,S000354,2025-06-27,2025-07-11,2025-06-28,정상,0,0,8
RENT0000000058,IDS00037,S000288,2025-03-01,2025-03-15,2025-03-11,정상,0,0,8
RENT0000000059,IDS00042,S000544,2024-11-18,2024-12-02,2024-12-08,연체,6,0,3
RENT0000000060,IDS00008,S000416,2025-01-30,2025-02-13,2025-01-31,정상,0,0,7
RENT0000000061,IDS00042,S000082,2024-07-02,2024-07-30,2024-07-26,정상,0,2,1
RENT0000000062,IDS00007,S000228,2024-11-24,2024-12-22,2024-12-06,정상,0,2,7
RENT0000000063,IDS00024,S000329,2025-04-24,2025-05-08,2025-05-16,연체,8,0,3
RENT0000000064,IDS00048,S000055,2024-12-25,2025-01-15,2025-01-01,정상,0,1,10
RENT0000000065,IDS00012,S000325,2025-03-07,2025-03-21,2025-03-11,정상,0,0,4
RENT0000000066,IDS00041,S000259,2025-01-03,2025-01-24,2025-01-28,연체,4,1,9
RENT0000000067,IDS00044,S000609,2025-03-10,2025-03-31,2025-03-16,정상,0,1,6
RENT0000000068,IDS00050,S000278,2024-11-20,2024-12-04,2024-11-27,정상,0,0,9
RENT0000000069,IDS00030,S000284,2025-06-05,2025-06-26,2025-06-11,정상,0,1,2
RENT0000000070,IDS00029,S000444,2025-01-26,2025-02-23,2025-02-05,정상,0,2,6
RENT0000000071,IDS00040,S000218,2025-05-30,2025-06-27,2025-07-06,연체,9,2,10
RENT0000000072,IDS00046,S000468,2024-11-02,2024-11-16,2024-11-02,정상,0,0,1
RENT0000000073,IDS00034,S000159,2025-05-21,2025-06-11,2025-06-19,연체,8,1,3
RENT0000000074,IDS00028,S000027,2025-04-21,2025-05-19,2025-05-19,정상,0,2,9
RENT0000000075,IDS00030,S000290,2024-07-17,2024-08-14,2024-07-18,정상,0,2,7
RENT0000000076,IDS00011,S000564,2025-06-17,2025-07-01,2025-06-18,정상,0,0,2
RENT0000000077,IDS00018,S000348,2024-12-19,2025-01-02,2024-12-21,정상,0,0,4
RENT0000000078,IDS00025,S000327,2025-01-08,2025-01-22,2025-01-15,정상,0,0,2
RENT0000000079,IDS00039,S000452,2025-01-11,2025-02-08,2025-02-14,연체,6,2,5
RENT0000000080,IDS00033,S000116,2024-09-08,2024-10-06,2024-09-09,정상,0,2,10
RENT0000000081,IDS00028,S000337,2024-07-19,2024-08-02,2024-07-26,정상,0,0,10
RENT0000000082,IDS00045,S000179,2025-04-06,2025-04-20,2025-04-14,정상,0,0,1
RENT0000000083,IDS00028,S000476,2024-11-16,2024-11-30,2024-12-02,연체,2,0,8
RENT0000000084,IDS00011,S000548,2024-11-14,2024-12-05,2024-11-21,정상,0,1,9
RENT0000000085,IDS00045,S000246,2025-04-08,2025-04-29,2025-04-18,정상,0,1,9
RENT0000000086,IDS00046,S000608,2025-02-26,2025-03-12,2025-02-27,정상,0,0,2
RENT0000000087,IDS00002,S000415,2025-04-22,2025-05-06,2025-05-04,정상,0,0,3
RENT0000000088,IDS00035,S000041,2025-05-10,2025-05-24,2025-05-23,정상,0,0,3
RENT0000000089,IDS00009,S000274,2024-12-31,2025-01-21,2025-01-05,정상,0,1,4
RENT0000000090,IDS00049,S000418,2025-05-22,2025-06-12,2025-05-31,정상,0,1,4
RENT0000000091,IDS00014,S000358,2025-06-25,2025-07-23,2025-07-08,정상,0,2,2
RENT0000000092,IDS00035,S000412,2025-05-10,2025-05-24,2025-05-23,정상,0,0,2
RENT0000000093,IDS00008,S000249,2025-06-07,2025-06-21,2025-06-11,정상,0,0,7
RENT0000000094,IDS00049,S000023,2024-07-02,2024-07-16,2024-07-09,정상,0,0,8
RENT0000000095,IDS00040,S000333,2025-05-03,2025-05-17,2025-05-25,연체,8,0,8
RENT0000000096,IDS00029,S000579,2025-06-19,2025-07-17,2025-07-07,정상,0,2,3
RENT0000000097,IDS00015,S000532,2024-12-05,2025-01-02,2024-12-10,정상,0,2,6
RENT0000000098,IDS00021,S000465,2025-03-13,2025-04-03,2025-03-16,정상,0,1,2
RENT0000000099,IDS00022,S000050,2025-04-23,2025-05-07,2025-05-06,정상,0,0,2
RENT0000000100,IDS00003,S000327,2025-04-24,2025-05-08,2025-05-18,연체,10,0,10
RENT0000000101,IDS00035,S000405,2024-11-26,2024-12-17,2024-12-13,정상,0,1,9
RENT0000000102,IDS00021,S000487,2025-02-26,2025-03-19,2025-03-29,연체,10,1,7
RENT0000000103,IDS00024,S000469,2024-12-23,2025-01-20,2024-12-24,정상,0,2,6
RENT0000000104,IDS00014,S000254,2024-09-04,2024-09-18,2024-09-04,정상,0,0,7
RENT0000000105,IDS00036,S000107,2025-01-09,2025-01-23,2025-01-19,정상,0,0,4
RENT0000000106,IDS00032,S000129,2025-01-07,2025-01-28,2025-01-08,정상,0,1,9
RENT0000000107,IDS00010,S000024,2025-02-12,2025-03-05,2025-03-08,연체,3,1,7
RENT0000000108,IDS00031,S000468,2024-07-02,2024-07-23,2024-07-18,정상,0,1,10
RENT0000000109,IDS00035,S000194,2025-01-13,2025-01-27,2025-01-15,정상,0,0,2
RENT0000000110,IDS00043,S000128,2025-05-03,2025-05-17,2025-05-07,정상,0,0,6
RENT0000000111,IDS00033,S000440,2024-10-17,2024-11-14,2024-10-20,정상,0,2,6
RENT0000000112,IDS00003,S000553,2024-09-23,2024-10-07,2024-10-06,정상,0,0,3
RENT0000000113,IDS00019,S000388,2024-11-10,2024-11-24,2024-11-22,정상,0,0,1
RENT0000000114,IDS00005,S000320,2025-02-27,2025-03-27,2025-03-14,정상,0,2,10
RENT0000000115,IDS00043,S000164,2024-11-22,2024-12-06,2024-11-26,정상,0,0,2
RENT0000000116,IDS00008,S000293,2025-01-04,2025-01-18,2025-01-24,연체,6,0,3
RENT0000000117,IDS00037,S000402,2025-05-18,2025-06-01,2025-05-30,정상,0,0,8
RENT0000000118,IDS00029,S000174,2025-06-06,2025-06-27,2025-06-16,정상,0,1,10
RENT0000000119,IDS00035,S000583,2024-07-28,2024-08-18,2024-07-30,정상,0,1,3
RENT0000000120,IDS00013,S000086,2024-12-20,2025-01-10,2025-01-09,정상,0,1,8
RENT0000000121,IDS00048,S000259,2025-02-20,2025-03-06,2025-02-23,정상,0,0,2
RENT0000000122,IDS00006,S000205,2025-04-11,2025-05-02,2025-04-28,정상,0,1,5
RENT0000000123,IDS00022,S000416,2024-09-07,2024-09-21,2024-09-16,정상,0,0,4
RENT0000000124,IDS00001,S000251,2024-07-14,2024-07-28,2024-07-16,정상,0,0,8
RENT0000000125,IDS00033,S000436,2024-09-13,2024-10-11,2024-09-13,정상,0,2,5
RENT0000000126,IDS00018,S000427,2025-03-13,2025-03-27,2025-03-18,정상,0,0,7
RENT0000000127,IDS00039,S000211,2024-09-09,2024-10-07,2024-10-14,연체,7,2,5
RENT0000000128,IDS00009,S000303,2025-07-04,2025-07-18,2025-07-07,정상,0,0,4
RENT0000000129,IDS00024,S000400,2024-11-06,2024-12-04,2024-12-10,연체,6,2,6
RENT0000000130,IDS00019,S000413,2025-07-07,2025-08-04,2025-07-13,정상,0,2,9
RENT0000000131,IDS00012,S000559,2024-08-04,2024-08-18,2024-08-18,정상,0,0,9
RENT0000000132,IDS00022,S000490,2025-02-20,2025-03-13,2025-03-16,연체,3,1,4
RENT0000000133,IDS00002,S000073,2024-09-24,2024-10-22,2024-10-02,정상,0,2,6
RENT0000000134,IDS00033,S000247,2025-02-15,2025-03-01,2025-02-25,정상,0,0,6
RENT0000000135,IDS00041,S000402,2024-12-29,2025-01-12,2025-01-20,연체,8,0,7
RENT0000000136,IDS00001,S000314,2024-08-02,2024-08-23,2024-08-27,연체,4,1,1
RENT0000000137,IDS00020,S000532,2025-04-15,2025-04-29,2025-04-15,정상,0,0,1
RENT0000000138,IDS00008,S000188,2024-10-28,2024-11-18,2024-11-09,정상,0,1,1
RENT0000000139,IDS00040,S000177,2024-07-22,2024-08-19,2024-08-29,연체,10,2,5
RENT0000000140,IDS00004,S000147,2025-02-18,2025-03-18,2025-03-12,정상,0,2,7
RENT0000000141,IDS00003,S000260,2024-08-23,2024-09-20,2024-09-29,연체,9,2,2
RENT0000000142,IDS00026,S000374,2025-06-25,2025-07-16,2025-07-15,정상,0,1,3
RENT0000000143,IDS00026,S000192,2025-01-13,2025-01-27,2025-01-14,정상,0,0,10
RENT0000000144,IDS00016,S000384,2025-03-02,2025-03-30,2025-03-07,정상,0,2,10
RENT0000000145,IDS00039,S000435,2025-06-27,2025-07-18,2025-07-11,정상,0,1,2
RENT0000000146,IDS00040,S000549,2024-10-22,2024-11-19,2024-11-02,정상,0,2,5
RENT0000000147,IDS00044,S000153,2024-07-19,2024-08-02,2024-08-03,연체,1,0,3
RENT0000000148,IDS00037,S000111,2025-05-28,2025-06-25,2025-06-03,정상,0,2,6
RENT0000000149,IDS00048,S000463,2025-02-25,2025-03-18,2025-03-08,정상,0,1,4
RENT0000000150,IDS00020,S000338,2025-03-26,2025-04-09,2025-04-11,연체,2,0,1
RENT0000000151,IDS00042,S000190,2025-07-02,2025-07-16,2025-07-02,정상,0,0,8
RENT0000000152,IDS00035,S000399,2024-10-20,2024-11-10,2024-10-22,정상,0,1,10
RENT0000000153,IDS00009,S000357,2024-07-30,2024-08-13,2024-08-01,정상,0,0,3
RENT0000000154,IDS00018,S000284,2025-06-23,2025-07-14,2025-06-25,정상,0,1,5
RENT0000000155,IDS00013,S000140,2024-09-04,2024-09-25,2024-09-18,정상,0,1,7
RENT0000000156,IDS00033,S000035,2025-03-14,2025-03-28,2025-03-15,정상,0,0,7
RENT0000000157,IDS00022,S000135,2024-08-18,2024-09-15,2024-08-30,정상,0,2,3
RENT0000000158,IDS00041,S000079,2025-04-02,2025-04-16,2025-04-02,정상,0,0,10
RENT0000000159,IDS00019,S000412,2025-01-06,2025-01-20,2025-01-21,연체,1,0,7
RENT0000000160,IDS00017,S000131,2024-07-28,2024-08-18,2024-08-13,정상,0,1,9
RENT0000000161,IDS00033,S000316,2024-09-04,2024-09-25,2024-09-06,정상,0,1,3
RENT0000000162,IDS00040,S000413,2024-12-16,2025-01-06,2024-12-23,정상,0,1,4
RENT0000000163,IDS00017,S000158,2024-07-01,2024-07-15,2024-07-01,정상,0,0,8
RENT0000000164,IDS00014,S000113,2025-06-08,2025-07-06,2025-06-12,정상,0,2,6
RENT0000000165,IDS00049,S000199,2024-11-21,2024-12-12,2024-12-08,정상,0,1,2
RENT0000000166,IDS00016,S000270,2024-08-26,2024-09-09,2024-08-28,정상,0,0,8
RENT0000000167,IDS00027,S000083,2024-08-01,2024-08-22,2024-08-01,정상,0,1,10
RENT0000000168,IDS00040,S000360,2025-02-12,2025-03-12,2025-02-18,정상,0,2,2
RENT0000000169,IDS00041,S000205,2025-02-08,2025-03-01,2025-03-02,연체,1,1,10
RENT0000000170,IDS00043,S000511,2025-01-04,2025-01-18,2025-01-06,정상,0,0,8
RENT0000000171,IDS00027,S000240,2024-10-16,2024-11-13,2024-11-09,정상,0,2,7
RENT0000000172,IDS00021,S000583,2024-12-08,2024-12-22,2024-12-08,정상,0,0,1
RENT0000000173,IDS00049,S000226,2024-11-04,2024-12-02,2024-11-11,정상,0,2,6
RENT0000000174,IDS00038,S000401,2025-06-14,2025-06-28,2025-07-01,연체,3,0,6
RENT0000000175,IDS00041,S000400,2024-08-13,2024-09-03,2024-08-30,정상,0,1,2
RENT0000000176,IDS00038,S000381,2024-12-25,2025-01-22,2024-12-26,정상,0,2,1
RENT0000000177,IDS00022,S000557,2024-12-21,2025-01-04,2024-12-27,정상,0,0,1
RENT0000000178,IDS00022,S000210,2025-02-28,2025-03-14,2025-03-13,정상,0,0,8
RENT0000000179,IDS00035,S000563,2025-06-06,2025-06-27,2025-07-03,연체,6,1,2
RENT0000000180,IDS00020,S000526,2025-05-12,2025-06-02,2025-05-19,정상,0,1,7
RENT0000000181,IDS00020,S000586,2024-08-22,2024-09-19,2024-09-07,정상,0,2,7
RENT0000000182,IDS00008,S000283,2024-10-05,2024-11-02,2024-10-24,정상,0,2,2
RENT0000000183,IDS00003,S000095,2024-09-25,2024-10-16,2024-10-15,정상,0,1,8
RENT0000000184,IDS00006,S000327,2024-12-08,2024-12-22,2024-12-12,정상,0,0,4
RENT0000000185,IDS00045,S000142,2025-03-26,2025-04-23,2025-04-01,정상,0,2,9
RENT0000000186,IDS00035,S000430,2025-01-20,2025-02-03,2025-01-23,정상,0,0,5
RENT0000000187,IDS00024,S000126,2024-08-18,2024-09-15,2024-08-21,정상,0,2,3
RENT0000000188,IDS00048,S000431,2025-06-07,2025-07-05,2025-06-14,정상,0,2,3
RENT0000000189,IDS00046,S000547,2024-09-30,2024-10-21,2024-10-17,정상,0,1,6
RENT0000000190,IDS00049,S000299,2024-10-19,2024-11-09,2024-10-24,정상,0,1,2
RENT0000000191,IDS00042,S000187,2024-08-28,2024-09-25,2024-09-05,정상,0,2,5
RENT0000000192,IDS00007,S000138,2025-03-30,2025-04-13,2025-04-10,정상,0,0,10
RENT0000000193,IDS00032,S000137,2025-03-02,2025-03-23,2025-03-28,연체,5,1,4
RENT0000000194,IDS00005,S000019,2024-07-05,2024-08-02,2024-07-12,정상,0,2,5
RENT0000000195,IDS00045,S000563,2025-01-24,2025-02-21,2025-01-28,정상,0,2,9
RENT0000000196,IDS00027,S000365,2024-10-20,2024-11-03,2024-11-03,정상,0,0,4
RENT0000000197,IDS00006,S000354,2024-11-16,2024-12-07,2024-11-26,정상,0,1,8
RENT0000000198,IDS00005,S000331,2025-05-24,2025-06-14,2025-06-05,정상,0,1,3
RENT0000000199,IDS00025,S000381,2025-01-20,2025-02-17,2025-01-28,정상,0,2,7
RENT0000000200,IDS00028,S000117,2025-04-16,2025-05-07,2025-04-17,정상,0,1,7
RENT0000000201,IDS00042,S000374,2025-06-20,2025-07-04,2025-06-21,정상,0,0,4
RENT0000000202,IDS00022,S000423,2024-08-09,2024-08-23,2024-08-14,정상,0,0,2
RENT0000000203,IDS00044,S000600,2024-09-17,2024-10-01,2024-10-03,연체,2,0,6
RENT0000000204,IDS00044,S000574,2024-11-10,2024-12-01,2024-11-10,정상,0,1,10
RENT0000000205,IDS00028,S000352,2025-01-23,2025-02-20,2025-01-27,정상,0,2,9
RENT0000000206,IDS00007,S000570,2025-03-31,2025-04-14,2025-04-12,정상,0,0,9
RENT0000000207,IDS00025,S000121,2025-06-03,2025-06-24,2025-06-28,연체,4,1,3
RENT0000000208,IDS00009,S000139,2024-11-02,2024-11-23,2024-11-25,연체,2,1,10
RENT0000000209,IDS00045,S000123,2024-10-16,2024-11-13,2024-10-25,정상,0,2,4
RENT0000000210,IDS00026,S000175,2025-01-16,2025-02-13,2025-01-25,정상,0,2,2
RENT0000000211,IDS00005,S000572,2024-07-19,2024-08-09,2024-08-02,정상,0,1,2
RENT0000000212,IDS00040,S000018,2025-05-06,2025-05-27,2025-05-25,정상,0,1,2
RENT0000000213,IDS00029,S000015,2025-03-14,2025-03-28,2025-03-21,정상,0,0,6
RENT0000000214,IDS00035,S000184,2025-05-04,2025-05-18,2025-05-14,정상,0,0,10
RENT0000000215,IDS00037,S000446,2024-07-31,2024-08-21,2024-08-13,정상,0,1,7
RENT0000000216,IDS00022,S000516,2025-02-07,2025-02-28,2025-02-14,정상,0,1,5
RENT0000000217,IDS00047,S000097,2025-06-05,2025-06-26,2025-06-10,정상,0,1,10
RENT0000000218,IDS00022,S000551,2024-07-10,2024-07-24,2024-07-16,정상,0,0,5
RENT0000000219,IDS00049,S000057,2025-07-01,2025-07-15,2025-07-03,정상,0,0,1
RENT0000000220,IDS00010,S000582,2025-06-25,2025-07-16,2025-06-30,정상,0,1,2
RENT0000000221,IDS00040,S000419,2024-07-02,2024-07-30,2024-08-07,연체,8,2,8
RENT0000000222,IDS00035,S000152,2025-01-22,2025-02-12,2025-01-27,정상,0,1,7
RENT0000000223,IDS00014,S000134,2024-09-01,2024-09-29,2024-09-07,정상,0,2,2
RENT0000000224,IDS00015,S000092,2024-08-13,2024-08-27,2024-08-26,정상,0,0,2
RENT0000000225,IDS00012,S000120,2024-07-18,2024-08-01,2024-07-19,정상,0,0,5
RENT0000000226,IDS00007,S000355,2025-03-22,2025-04-12,2025-03-28,정상,0,1,9
RENT0000000227,IDS00044,S000367,2025-02-01,2025-03-01,2025-02-15,정상,0,2,10
RENT0000000228,IDS00035,S000448,2025-04-09,2025-05-07,2025-04-13,정상,0,2,4
RENT0000000229,IDS00050,S000077,2024-08-02,2024-08-30,2024-08-18,정상,0,2,10
RENT0000000230,IDS00030,S000197,2024-09-06,2024-09-20,2024-09-22,연체,2,0,9
RENT0000000231,IDS00002,S000214,2024-10-31,2024-11-14,2024-11-03,정상,0,0,2
RENT0000000232,IDS00047,S000164,2024-12-04,2024-12-25,2024-12-05,정상,0,1,10
RENT0000000233,IDS00031,S000160,2025-04-20,2025-05-04,2025-05-04,정상,0,0,8
RENT0000000234,IDS00009,S000071,2025-05-15,2025-06-05,2025-05-20,정상,0,1,9
RENT0000000235,IDS00044,S000409,2024-10-21,2024-11-04,2024-10-21,정상,0,0,8
RENT0000000236,IDS00026,S000554,2024-12-19,2025-01-02,2024-12-20,정상,0,0,4
RENT0000000237,IDS00042,S000452,2025-07-02,2025-07-16,2025-07-10,정상,0,0,10
RENT0000000238,IDS00011,S000425,2024-09-12,2024-10-03,2024-09-30,정상,0,1,1
RENT0000000239,IDS00026,S000370,2024-12-17,2024-12-31,2024-12-25,정상,0,0,9
RENT0000000240,IDS00041,S000584,2024-08-12,2024-08-26,2024-08-15,정상,0,0,7
RENT0000000241,IDS00012,S000019,2025-03-13,2025-04-10,2025-03-20,정상,0,2,7
RENT0000000242,IDS00050,S000455,2024-07-04,2024-07-25,2024-07-10,정상,0,1,7
RENT0000000243,IDS00012,S000096,2025-04-06,2025-05-04,2025-04-12,정상,0,2,8
RENT0000000244,IDS00034,S000578,2024-11-30,2024-12-14,2024-12-09,정상,0,0,8
RENT0000000245,IDS00037,S000545,2024-09-19,2024-10-03,2024-09-27,정상,0,0,10
RENT0000000246,IDS00042,S000208,2025-01-15,2025-01-29,2025-01-26,정상,0,0,8
RENT0000000247,IDS00003,S000028,2025-06-15,2025-07-06,2025-06-29,정상,0,1,2
RENT0000000248,IDS00040,S000455,2025-03-25,2025-04-22,2025-03-27,정상,0,2,9
RENT0000000249,IDS00013,S000127,2025-02-12,2025-03-12,2025-02-17,정상,0,2,2
RENT0000000250,IDS00017,S000437,2024-08-09,2024-09-06,2024-09-04,정상,0,2,4
RENT0000000251,IDS00014,S000159,2024-10-18,2024-11-08,2024-10-30,정상,0,1,9
RENT0000000252,IDS00040,S000032,2024-07-13,2024-07-27,2024-07-24,정상,0,0,10
RENT0000000253,IDS00042,S000445,2024-07-24,2024-08-07,2024-07-29,정상,0,0,1
RENT0000000254,IDS00014,S000517,2025-06-26,2025-07-24,2025-07-09,정상,0,2,5
RENT0000000255,IDS00011,S000543,2024-10-11,2024-11-01,2024-11-01,정상,0,1,8
RENT0000000256,IDS00001,S000351,2025-06-18,2025-07-16,2025-07-12,정상,0,2,6
RENT0000000257,IDS00030,S000040,2024-11-24,2024-12-08,2024-11-26,정상,0,0,5
RENT0000000258,IDS00015,S000094,2024-11-04,2024-12-02,2024-11-20,정상,0,2,7
RENT0000000259,IDS00004,S000262,2024-07-24,2024-08-14,2024-07-29,정상,0,1,6
RENT0000000260,IDS00007,S000011,2024-12-19,2025-01-09,2024-12-30,정상,0,1,10
RENT0000000261,IDS00007,S000596,2025-02-15,2025-03-15,2025-03-09,정상,0,2,4
RENT0000000262,IDS00037,S000304,2024-08-10,2024-09-07,2024-09-01,정상,0,2,3
RENT0000000263,IDS00005,S000199,2025-03-30,2025-04-20,2025-04-02,정상,0,1,3
RENT0000000264,IDS00023,S000465,2024-08-10,2024-09-07,2024-09-06,정상,0,2,8
RENT0000000265,IDS00045,S000065,2025-06-30,2025-07-21,2025-07-24,연체,3,1,2
RENT0000000266,IDS00006,S000485,2025-07-07,2025-07-21,2025-07-07,정상,0,0,7
RENT0000000267,IDS00007,S000043,2024-07-23,2024-08-06,2024-08-06,정상,0,0,10
RENT0000000268,IDS00019,S000538,2025-01-30,2025-02-13,2025-02-03,정상,0,0,10
RENT0000000269,IDS00040,S000271,2025-01-14,2025-02-11,2025-02-09,정상,0,2,4
RENT0000000270,IDS00011,S000210,2025-03-16,2025-03-30,2025-03-24,정상,0,0,7
RENT0000000271,IDS00030,S000210,2024-12-12,2024-12-26,2025-01-02,연체,7,0,7
RENT0000000272,IDS00011,S000410,2025-05-08,2025-05-22,2025-05-17,정상,0,0,9
RENT0000000273,IDS00037,S000567,2025-05-26,2025-06-16,2025-06-01,정상,0,1,6
RENT0000000274,IDS00011,S000200,2025-02-24,2025-03-17,2025-03-13,정상,0,1,6
RENT0000000275,IDS00003,S000460,2025-01-01,2025-01-29,2025-01-09,정상,0,2,3
RENT0000000276,IDS00049,S000357,2024-07-16,2024-08-06,2024-07-23,정상,0,1,1
RENT0000000277,IDS00050,S000596,2024-12-08,2024-12-22,2024-12-20,정상,0,0,10
RENT0000000278,IDS00035,S000096,2024-12-06,2024-12-20,2024-12-06,정상,0,0,10
RENT0000000279,IDS00038,S000472,2024-12-10,2024-12-31,2024-12-13,정상,0,1,10
RENT0000000280,IDS00029,S000170,2024-09-16,2024-10-07,2024-09-19,정상,0,1,6
RENT0000000281,IDS00004,S000216,2024-10-10,2024-11-07,2024-10-10,정상,0,2,1
RENT0000000282,IDS00016,S000355,2025-01-04,2025-01-18,2025-01-18,정상,0,0,10
RENT0000000283,IDS00018,S000183,2024-11-30,2024-12-14,2024-12-11,정상,0,0,8
RENT0000000284,IDS00048,S000582,2024-09-07,2024-09-21,2024-09-10,정상,0,0,10
RENT0000000285,IDS00016,S000401,2024-09-18,2024-10-09,2024-10-01,정상,0,1,5
RENT0000000286,IDS00006,S000386,2024-10-21,2024-11-04,2024-10-21,정상,0,0,6
RENT0000000287,IDS00047,S000546,2024-10-14,2024-10-28,2024-10-27,정상,0,0,7
RENT0000000288,IDS00010,S000216,2025-05-25,2025-06-08,2025-06-18,연체,10,0,2
RENT0000000289,IDS00043,S000363,2024-12-10,2024-12-31,2024-12-17,정상,0,1,3
